,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Muscat,OM,64.42,scattered clouds,23.6139,58.5922,البطاشي
140,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Hôtel Trévani
141,Port Blair,IN,68.04,mist,11.6667,92.75,Andaman Ocean Breeze
142,La Libertad,EC,75.88,scattered clouds,-2.2333,-80.9,Hotel Mar Caribe
145,Lima,PE,75.9,clear sky,-12.0432,-77.0282,Hotel Peach Garden
148,Jacala,MX,60.93,overcast clouds,21.0167,-99.1833,Marely
149,Omboue,GA,77.81,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
151,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
152,Praia,CV,73.94,clear sky,14.9215,-23.5087,Casa Sodadi
153,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
154,Valparaiso,CL,63.48,clear sky,-33.0393,-71.6273,Ibis Hotel
155,Guerrero Negro,MX,64.8,overcast clouds,27.9769,-114.0611,Plaza sal paraiso
156,Ishigaki,JP,68.13,scattered clouds,24.3448,124.1572,アートホテル石垣島
160,Adeje,ES,63.48,few clouds,28.1227,-16.726,Royal Garden Villas
161,Jeremie,HT,71.65,clear sky,18.65,-74.1167,Delivrance Hotel
162,Takoradi,GH,79.34,clear sky,4.8845,-1.7554,Hillcrest
163,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
164,Monrovia,LR,78.08,scattered clouds,6.3005,-10.7969,Bella Casa Hotel
165,Huarmey,PE,70.3,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
167,Jardim,BR,75.87,broken clouds,-21.4803,-56.1381,Hotel Uchôa
169,Santa Cruz De La Palma,ES,64.54,overcast clouds,28.6835,-17.7642,El Hotelito 27
175,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
177,Trelew,AR,66.43,overcast clouds,-43.249,-65.3051,Patagonia Suites & Apart
179,Capao Da Canoa,BR,74.26,overcast clouds,-29.7456,-50.0097,Hotel Serramar
181,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,Hotel valencia
185,Bulawayo,ZW,61.61,broken clouds,-20.15,28.5833,Selboune Hotel
186,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Cape Garden
187,Bodden Town,KY,73.4,few clouds,19.2833,-81.25,Turtle Nest Inn
193,Sao Felix Do Xingu,BR,71.04,overcast clouds,-6.6447,-51.995,Hotel Terraço
194,Santa Flavia,IT,60.58,overcast clouds,38.085,13.5351,Villa Soles
197,Kalmunai,LK,77.07,overcast clouds,7.4167,81.8167,Saji new food
199,Loanda,AO,76.86,overcast clouds,-8.8368,13.2343,Hotel Forum
202,Nieuw Amsterdam,SR,77.02,broken clouds,5.8833,-55.0833,Leonsberg Lodge
203,Sitio Novo Do Tocantins,BR,76.93,scattered clouds,-5.5183,-47.4611,New Anápolis Hotel
204,Neuquen,AR,69.69,few clouds,-38.9516,-68.0591,Hotel Argentina 307
205,Kapiri Mposhi,ZM,61.2,light rain,-13.9652,28.6809,Chanika Lodge
206,Tres Arroyos,AR,67.89,clear sky,-38.3739,-60.2798,Andrea Hotel
207,Paita,PE,70.36,broken clouds,-5.0892,-81.1144,Victor's
208,Leon Valley,US,66.96,clear sky,29.4952,-98.6186,In Town Suites Leon Valley North
210,Ambilobe,MG,71.01,overcast clouds,-13.2,49.05,Hôtel National
211,Bridgetown,BB,79.29,light intensity shower rain,13.1,-59.6167,Radisson Aquatica Resort
212,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,Hotel del Valle
214,Sinnamary,GF,75.88,overcast clouds,5.3833,-52.95,Hôtel du fleuve
215,Te Anau,NZ,73.18,few clouds,-45.4167,167.7167,Lakeside Motels & Apartments
216,Sao Filipe,CV,76.51,overcast clouds,14.8961,-24.4956,Bela Vista
217,Christchurch,NZ,69.91,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
219,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Terra Sur
221,Ngaoundere,CM,62.37,overcast clouds,7.3167,13.5833,LA CONCORDE
222,Bay Saint Louis,US,66.27,overcast clouds,30.3088,-89.33,Pearl Hotel
223,Lazaro Cardenas,MX,75.49,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
224,Mesetas,CO,71.67,overcast clouds,3.3846,-74.0442,Hotel Doña BETY
227,Kasempa,ZM,63.55,overcast clouds,-13.4584,25.8338,Kasmpa Council Guest House
230,Businga,CD,67.35,broken clouds,3.3333,20.8833,Hôtel Roho
231,Anaco,VE,74.53,scattered clouds,9.4389,-64.4728,Hotel Muñíz
233,Mwene-Ditu,CD,64.08,light rain,-7.0,23.45,Hôtel KAMAS
234,Benguela,AO,77.58,overcast clouds,-12.5763,13.4055,Hotel Moibela
237,Puerto Baquerizo Moreno,EC,74.3,few clouds,-0.9,-89.6,Dory's House
238,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Mabassa
239,Domoni,KM,78.39,light rain,-12.2569,44.5319,Hotel Djadid
241,Baracoa,CU,67.44,clear sky,20.3467,-74.4958,Casa
243,Bartica,GY,70.79,few clouds,6.4,-58.6167,Rockville Hotel
244,Savannah Bight,HN,77.2,clear sky,16.45,-85.85,La Giralda
245,Caravelas,BR,74.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
247,Bathsheba,BB,79.41,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
248,Linhares,BR,71.06,clear sky,-19.3911,-40.0722,Days Inn Linhares
249,Kingston,JM,74.35,few clouds,17.997,-76.7936,Aphrodite Hotel
251,Gibara,CU,65.52,clear sky,21.1097,-76.1317,Plaza Colón
254,Freetown,SL,75.52,clear sky,8.484,-13.2299,Formal Leona hotel
255,Grand Baie,MU,79.45,light rain,-20.0182,57.5802,Safari
256,Cinco Esquinas,CR,63.37,clear sky,10.1037,-84.1678,Hotel El Portico
257,Tutoia,BR,74.05,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
258,Methoni,GR,60.22,broken clouds,36.8197,21.7049,Hotel Ulysses
260,Burnie,AU,72.95,overcast clouds,-41.0667,145.9167,Burnie Central TownHouse Hotel
261,Grand-Bourg,GP,69.75,clear sky,15.8835,-61.3148,Coco Beach Resort
262,Porto Murtinho,BR,76.19,clear sky,-21.6989,-57.8825,Hotel Saladero Cuê
263,Cradock,ZA,71.85,overcast clouds,-32.1642,25.6192,Die Tuishuise and Victoria Manor
265,Arenys De Mar,ES,62.38,overcast clouds,41.5819,2.5494,Hotel Jet
